datasetid,recordid,record_timestamp,fields.last_updated,fields.ad_station,fields.geo_point_2d,fields.statut_pdc,fields.postal_code,fields.id_pdc,fields.url_description_pdc,geometry.type,geometry.coordinates
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,4828de9cfb784b6f8db5714d596adde2d25186a1,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"8 Rue Danton, 75006 Paris","[48.85262, 2.342107]",En cours de mise en service,75006,FR*V75*EPX06*02*2,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX06*02*2,Point,"[2.342107, 48.85262]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,bd9f9fd0e0a0dc56d7af5fbb6e450d7554486341,2021-05-09T02:30:01.904000+00:00,2021-05-09T02:30:01+00:00,"1 Rue Pierre Chausson, 75010 Paris","[48.87026, 2.3600461]",En cours de mise en service,75010,FR*V75*EPX10*01*4,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX10*01*4,Point,"[2.3600461, 48.87026]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,3c11c2afa73dca9a42e38f948d2a981f95551ae2,2021-05-09T05:52:28.774000+00:00,2021-05-09T05:52:28+00:00,"2 Rue Chardon Lagache, 75016 Paris","[48.84676, 2.268339]",Disponible,75016,FR*V75*E9016*09*2,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9016*09*2,Point,"[2.268339, 48.84676]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,0307f5843dc2dc9c8f26d4af0e6dc298db39e29e,2021-05-09T09:09:48.793000+00:00,2021-05-09T09:09:48+00:00,"10 Avenue de Saxe, 75007 Paris","[48.84975, 2.3074996]",Disponible,75007,FR*V75*E9007*02*2,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9007*02*2,Point,"[2.3074996, 48.84975]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,122dd155b76cf23551532082f5b9239ba8cdee8b,2021-05-09T10:42:26.298000+00:00,2021-05-09T10:42:26+00:00,"34 Rue Saint-Jacques, 75005 Paris","[48.850613, 2.3453429]",Disponible,75005,FR*V75*E9005*03*2,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9005*03*2,Point,"[2.3453429, 48.850613]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,011123b59446f49c45a2c72f7e34da8a3bff5fd8,2021-05-09T11:17:02.831000+00:00,2021-05-09T11:17:02+00:00,"99 Rue de la Convention, 75015 Paris","[48.841663, 2.286931]",Disponible,75015,FR*V75*E9015*04*3,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9015*04*3,Point,"[2.286931, 48.841663]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,b53ba4f039d23b62c87fc6ecfef0c970575b7206,2021-05-09T11:51:39.944000+00:00,2021-05-09T11:51:39+00:00,"4 Place Saint-Gervais, 75004 Paris","[48.856052, 2.3537521]",Disponible,75004,FR*V75*E9004*01*2,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9004*01*2,Point,"[2.3537521, 48.856052]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,0b56bc4c219f083f6458a056fcb26a963f5d7838,2021-05-09T14:35:50.056000+00:00,2021-05-09T14:35:49+00:00,"5 Rue Réaumur, 75003 Paris","[48.86472, 2.359043]",Disponible,75003,FR*V75*E9003*01*3,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9003*01*3,Point,"[2.359043, 48.86472]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,1560cc7e78cbe8f9096e92262d5e9051e5687299,2021-05-09T15:18:10.171000+00:00,2021-05-09T15:18:10+00:00,"37 Avenue d'Iéna, 75016 Paris","[48.86851, 2.295469]",Disponible,75016,FR*V75*E9016*02*2,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9016*02*2,Point,"[2.295469, 48.86851]"
belib-points-de-recharge-pour-vehicules-electriques-disponibilite-temps-reel,ddab886d35e8a6f8d215b463d0aa2c705cf57257,2021-05-09T15:23:44.217000+00:00,2021-05-09T15:23:43+00:00,"27 Boulevard du Temple, 75011 Paris","[48.865097, 2.36554]",Disponible,75011,FR*V75*E9011*02*1,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9011*02*1,Point,"[2.36554, 48.865097]"
